timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2 %, 3142 MiB
2 %, 3142 MiB
2 %, 3142 MiB
2 %, 3142 MiB
2 %, 3142 MiB
2 %, 3142 MiB
2 %, 3141 MiB
2 %, 3141 MiB
2 %, 3137 MiB
2 %, 3137 MiB
2 %, 3146 MiB
2 %, 3146 MiB
2 %, 3146 MiB
2 %, 3140 MiB
2 %, 3146 MiB
2 %, 3146 MiB
2 %, 3146 MiB
2 %, 3147 MiB
, 0, NVIDIA GeForce GTX 1070, 2 %, 3144 MiB
2026/05/26 19:03:58.186, 0, NVIDIA GeForce GTX 1070, 2 %, 3144 MiB
2026/05/26 19:03:59.195, 0, NVIDIA GeForce GTX 1070, 2 %, 3144 MiB
2026/05/26 19:04:00.206, 0, NVIDIA GeForce GTX 1070, 2 %, 3144 MiB
2026/05/26 19:04:01.214, 0, NVIDIA GeForce GTX 1070, 2 %, 3144 MiB
2026/05/26 19:04:02.224, 0, NVIDIA GeForce GTX 1070, 2 %, 3144 MiB
2026/05/26 19:04:03.240, 0, NVIDIA GeForce GTX 1070, 3 %, 3151 MiB
2026/05/26 19:04:04.250, 0, NVIDIA GeForce GTX 1070, 3 %, 3149 MiB
2026/05/26 19:04:05.262, 0, NVIDIA GeForce GTX 1070, 3 %, 3149 MiB
2026/05/26 19:04:06.267, 0, NVIDIA GeForce GTX 1070, 3 %, 3149 MiB
2026/05/26 19:04:07.280, 0, NVIDIA GeForce GTX 1070, 3 %, 3149 MiB
2026/05/26 19:04:08.289, 0, NVIDIA GeForce GTX 1070, 3 %, 3148 MiB
2026/05/26 19:04:09.304, 0, NVIDIA GeForce GTX 1070, 3 %, 3064 MiB
2026/05/26 19:04:10.316, 0, NVIDIA GeForce GTX 1070, 2 %, 3064 MiB
2026/05/26 19:04:11.325, 0, NVIDIA GeForce GTX 1070, 2 %, 3064 MiB
2026/05/26 19:04:12.339, 0, NVIDIA GeForce GTX 1070, 2 %, 3064 MiB
2026/05/26 19:04:13.344, 0, NVIDIA GeForce GTX 1070, 2 %, 3069 MiB
2026/05/26 19:04:14.358, 0, NVIDIA GeForce GTX 1070, 3 %, 3069 MiB
2026/05/26 19:04:15.371, 0, NVIDIA GeForce GTX 1070, 2 %, 3074 MiB
2026/05/26 19:04:16.379, 0, NVIDIA GeForce GTX 1070, 2 %, 3077 MiB
2026/05/26 19:04:17.384, 0, NVIDIA GeForce GTX 1070, 2 %, 3081 MiB
2026/05/26 19:04:18.385, 0, NVIDIA GeForce GTX 1070, 0 %, 3082 MiB
2026/05/26 19:04:19.389, 0, NVIDIA GeForce GTX 1070, 2 %, 869 MiB
2026/05/26 19:04:20.397, 0, NVIDIA GeForce GTX 1070, 2 %, 869 MiB
2026/05/26 19:04:21.407, 0, NVIDIA GeForce GTX 1070, 2 %, 869 MiB
2026/05/26 19:04:22.417, 0, NVIDIA GeForce GTX 1070, 2 %, 859 MiB
2026/05/26 19:04:23.424, 0, NVIDIA GeForce GTX 1070, 2 %, 863 MiB
2026/05/26 19:04:24.433, 0, NVIDIA GeForce GTX 1070, 2 %, 860 MiB
2026/05/26 19:04:25.434, 0, NVIDIA GeForce GTX 1070, 2 %, 860 MiB
2026/05/26 19:04:26.446, 0, NVIDIA GeForce GTX 1070, 2 %, 873 MiB
2026/05/26 19:04:27.459, 0, NVIDIA GeForce GTX 1070, 2 %, 873 MiB
2026/05/26 19:04:28.472, 0, NVIDIA GeForce GTX 1070, 2 %, 867 MiB
2026/05/26 19:04:29.482, 0, NVIDIA GeForce GTX 1070, 2 %, 860 MiB
2026/05/26 19:04:30.494, 0, NVIDIA GeForce GTX 1070, 2 %, 860 MiB
